policyId,string,必须,,政策id,
agentId,string,必须,,代理商id,
agentType,number,必须,,政策类型,
,,,,,
^RES$,,,,,
,,,,,
PolicyConfigPo,object,非必须,,激活活动返现返现金额,备注:?激活活动返现返现金额
jhCashbackAmount,number,非必须,,激活返现,
hdCashbackAmount,number,非必须,,活动返现,
freeday,string,非必须,,免手续费天数,
cashbackday,string,非必须,,返现期限(天数),
trade,string,非必须,,激活返现条件,
VipCashBack,object?[],非必须,,vip返现金额,item 类型:?object
buyAmount,number,非必须,,购买金额（分90天和150天按金额分）,
cashbackAmount,number,非必须,,返现金额,
isBuyVip,number,非必须,,是否可以购买VIP 1：可以 10：不可以,
isFactoring,number,非必须,,是否可以产生保理,
isBystages,number,非必须,,是否可以分期,
customerFee,object,非必须,,,
CST_RATE_MAX,string,非必须,,最大交易费率,
CST_FEE_MIN,string,非必须,,最小交易手续费,
CST_RATE_MIN,string,非必须,,最小交易费率,
CST_FEE_MAX,string,非必须,,最大交易手续费,
AgentPolicyPo,object,非必须,,设置过参数的,备注:?设置过参数的
policyId,number,非必须,,政策ID,
agentId,number,非必须,,代理商id,
txnRate,number,非必须,,,
txnFee,number,非必须,,,
agentRate,number,非必须,,,
agentFee,number,非必须,,,
activationPrice,number,非必须,,,
activityPrice,number,非必须,,,
vip90Price,number,非必须,,,
vip150Price,number,非必须,,,
couFees,string?[],非必须,,单笔手续费,item 类型:?string
,,非必须,,,
sonPolicyAmount,object?[],非必须,,子政策的的押金金额、激活返现金额、活动返现金额（参数政策类型为1时才会有此数据）,item 类型:?object
policyId,number,非必须,,政策id,
policyName,string,非必须,,子政策名称,
